,Unnamed: 0,Tanggal,Pembukaan,Bulan,Tahun,Pembukaan_log,Pembukaan_filled
374,374,2023-01-12,133.88,1,2023,-1.8346460747428344,-1.8346460747428344
375,375,2023-01-13,132.03,1,2023,-1.9448007530055973,-1.9448007530055973
376,376,2023-01-14,132.95499999999998,1,2023,-1.88942803448004,-1.88942803448004
377,377,2023-01-15,132.03,1,2023,-1.9448007530055973,-1.9448007530055973
378,378,2023-01-16,132.4925,1,2023,-1.9170398959015051,-1.9170398959015051
379,379,2023-01-17,134.83,1,2023,-1.778987640463016,-1.778987640463016
380,380,2023-01-18,136.82,1,2023,-1.6643346513681436,-1.6643346513681436
381,381,2023-01-19,134.08,1,2023,-1.8228779971163516,-1.8228779971163516
382,382,2023-01-20,135.28,1,2023,-1.752833680272669,-1.752833680272669
383,383,2023-01-21,134.68,1,2023,-1.787735556427924,-1.787735556427924
384,384,2023-01-22,135.28,1,2023,-1.752833680272669,-1.752833680272669
385,385,2023-01-23,138.12,1,2023,-1.5908147590144657,-1.5908147590144657
386,386,2023-01-24,140.3,1,2023,-1.4698928273341885,-1.4698928273341885
387,387,2023-01-25,140.89,1,2023,-1.4376633243832606,-1.4376633243832606
388,388,2023-01-26,143.17,1,2023,-1.3150461693281623,-1.3150461693281623
389,389,2023-01-27,143.15,1,2023,-1.3161086464107348,-1.3161086464107348
390,390,2023-01-28,143.16,1,2023,-1.315577379249625,-1.315577379249625
391,391,2023-01-29,143.15,1,2023,-1.3161086464107348,-1.3161086464107348
392,392,2023-01-30,144.96,1,2023,-1.220871979017855,-1.220871979017855
393,393,2023-01-31,142.7,1,2023,-1.3400750765956004,-1.3400750765956004
394,394,2023-02-01,143.97,2,2023,-1.272733938843529,-1.272733938843529
395,395,2023-02-02,148.9,2,2023,-1.0197673680428552,-1.0197673680428552
396,396,2023-02-03,148.03,2,2023,-1.0634624734310345,-1.0634624734310345
397,397,2023-02-04,148.465,2,2023,-1.0415655379758884,-1.0415655379758884
398,398,2023-02-05,148.03,2,2023,-1.0634624734310345,-1.0634624734310345
399,399,2023-02-06,152.57,2,2023,-0.8396934076929363,-0.8396934076929363
400,400,2023-02-07,150.64,2,2023,-0.9335478521715318,-0.9335478521715318
401,401,2023-02-08,153.88,2,2023,-0.7770263769175998,-0.7770263769175998
402,402,2023-02-09,153.77,2,2023,-0.7822567905840057,-0.7822567905840057
403,403,2023-02-10,149.46,2,2023,-0.991849593631121,-0.991849593631121
404,404,2023-02-11,151.615,2,2023,-0.8859039087253145,-0.8859039087253145
405,405,2023-02-12,149.46,2,2023,-0.991849593631121,-0.991849593631121
406,406,2023-02-13,150.95,2,2023,-0.9183480420794484,-0.9183480420794484
407,407,2023-02-14,152.12,2,2023,-0.8614122137935041,-0.8614122137935041
408,408,2023-02-15,153.11,2,2023,-0.8137609668273107,-0.8137609668273107
409,409,2023-02-16,153.51,2,2023,-0.7946425719483232,-0.7946425719483232
410,410,2023-02-17,152.35,2,2023,-0.8502991222379086,-0.8502991222379086
411,411,2023-02-18,152.93,2,2023,-0.8223894115361035,-0.8223894115361035
412,412,2023-02-19,152.35,2,2023,-0.8502991222379086,-0.8502991222379086
413,413,2023-02-20,152.64,2,2023,-0.8363238099005232,-0.8363238099005232
414,414,2023-02-21,150.2,2,2023,-0.9552048390443508,-0.9552048390443508
415,415,2023-02-22,148.87,2,2023,-1.0212675344062416,-1.0212675344062416
416,416,2023-02-23,150.09,2,2023,-0.9606343876997446,-0.9606343876997446
417,417,2023-02-24,147.11,2,2023,-1.110101906314151,-1.110101906314151
418,418,2023-02-25,148.60000000000002,2,2023,-1.0347900535269932,-1.0347900535269932
419,419,2023-02-26,147.11,2,2023,-1.110101906314151,-1.110101906314151
420,420,2023-02-27,147.71,2,2023,-1.0796340443170973,-1.0796340443170973
421,421,2023-02-28,147.05,2,2023,-1.1131592374270034,-1.1131592374270034
422,422,2023-03-01,146.83,3,2023,-1.1243859377819576,-1.1243859377819576
423,423,2023-03-02,144.38,3,2023,-1.2511892098963686,-1.2511892098963686
424,424,2023-03-03,148.04,3,2023,-1.062957981020681,-1.062957981020681
425,425,2023-03-04,146.20999999999998,3,2023,-1.156164929390415,-1.156164929390415
426,426,2023-03-05,148.04,3,2023,-1.062957981020681,-1.062957981020681
427,427,2023-03-06,153.79,3,2023,-0.7813053768624538,-0.7813053768624538
428,428,2023-03-07,153.7,3,2023,-0.7855882430626475,-0.7855882430626475
429,429,2023-03-08,152.81,3,2023,-0.828150419894411,-0.828150419894411
430,430,2023-03-09,153.56,3,2023,-0.7922581776922257,-0.7922581776922257
431,431,2023-03-10,150.21,3,2023,-0.9547115479560526,-0.9547115479560526
432,432,2023-03-11,151.885,3,2023,-0.8727937068103666,-0.8727937068103666
433,433,2023-03-12,150.21,3,2023,-0.9547115479560526,-0.9547115479560526
434,434,2023-03-13,147.8,3,2023,-1.0750803303937908,-1.0750803303937908
435,435,2023-03-14,151.28,3,2023,-0.9022204382717138,-0.9022204382717138
436,436,2023-03-15,151.19,3,2023,-0.906613488289808,-0.906613488289808
437,437,2023-03-16,152.16,3,2023,-0.8594776402767197,-0.8594776402767197
438,438,2023-03-17,156.08,3,2023,-0.6736154279197961,-0.6736154279197961
439,439,2023-03-18,154.12,3,2023,-0.7656345685228902,-0.7656345685228902
440,440,2023-03-19,156.08,3,2023,-0.6736154279197961,-0.6736154279197961
441,441,2023-03-20,155.07,3,2023,-0.7208092938346865,-0.7208092938346865
442,442,2023-03-21,157.32,3,2023,-0.6163150198406108,-0.6163150198406108
443,443,2023-03-22,159.3,3,2023,-0.5262500779503275,-0.5262500779503275
444,444,2023-03-23,158.83,3,2023,-0.5474721868876496,-0.5474721868876496
445,445,2023-03-24,158.86,3,2023,-0.5461146890835455,-0.5461146890835455
446,446,2023-03-25,158.845,3,2023,-0.546793388517641,-0.546793388517641
447,447,2023-03-26,158.86,3,2023,-0.5461146890835455,-0.5461146890835455
448,448,2023-03-27,159.94,3,2023,-0.4975068059324856,-0.4975068059324856
449,449,2023-03-28,157.97,3,2023,-0.5865561907085503,-0.5865561907085503
450,450,2023-03-29,159.37,3,2023,-0.5230976064070612,-0.5230976064070612
451,451,2023-03-30,161.53,3,2023,-0.4268600113138657,-0.4268600113138657
452,452,2023-03-31,162.44,3,2023,-0.3869080215002315,-0.3869080215002315
453,453,2023-04-01,161.985,4,2023,-0.4068407057300418,-0.4068407057300418
454,454,2023-04-02,162.44,4,2023,-0.3869080215002315,-0.3869080215002315
455,455,2023-04-03,164.27,4,2023,-0.3076016421904235,-0.3076016421904235
456,456,2023-04-04,166.6,4,2023,-0.2085790118784982,-0.2085790118784982
457,457,2023-04-05,164.74,4,2023,-0.2874531336541285,-0.2874531336541285
458,458,2023-04-06,162.43,4,2023,-0.3873451758745259,-0.3873451758745259
459,459,2023-04-07,163.585,4,2023,-0.3371269365792745,-0.3371269365792745
460,460,2023-04-08,162.43,4,2023,-0.3873451758745259,-0.3873451758745259
461,461,2023-04-09,163.0075,4,2023,-0.3621673900686185,-0.3621673900686185
462,462,2023-04-10,161.42,4,2023,-0.4317129149953049,-0.4317129149953049
463,463,2023-04-11,162.35,4,2023,-0.3908439072318951,-0.3908439072318951
464,464,2023-04-12,161.22,4,2023,-0.4405494685704195,-0.4405494685704195
465,465,2023-04-13,161.63,4,2023,-0.422452705678817,-0.422452705678817
466,466,2023-04-14,164.59,4,2023,-0.2938738569273924,-0.2938738569273924
467,467,2023-04-15,163.11,4,2023,-0.3577129915782914,-0.3577129915782914
468,468,2023-04-16,164.59,4,2023,-0.2938738569273924,-0.2938738569273924
469,469,2023-04-17,165.09,4,2023,-0.2725064869232447,-0.2725064869232447
470,470,2023-04-18,166.1,4,2023,-0.2296476588542629,-0.2296476588542629
471,471,2023-04-19,165.8,4,2023,-0.242335911314431,-0.242335911314431
472,472,2023-04-20,166.09,4,2023,-0.2300700304323751,-0.2300700304323751
473,473,2023-04-21,165.05,4,2023,-0.274212198077528,-0.274212198077528
474,474,2023-04-22,165.57000000000002,4,2023,-0.2520876020196426,-0.2520876020196426
475,475,2023-04-23,165.05,4,2023,-0.274212198077528,-0.274212198077528
476,476,2023-04-24,165.0,4,2023,-0.2763452347491344,-0.2763452347491344
477,477,2023-04-25,165.19,4,2023,-0.268244999253482,-0.268244999253482
478,478,2023-04-26,163.05,4,2023,-0.3603199197290873,-0.3603199197290873
479,479,2023-04-27,165.19,4,2023,-0.268244999253482,-0.268244999253482
480,480,2023-04-28,168.49,4,2023,-0.1298133510051679,-0.1298133510051679
481,481,2023-04-29,166.84,4,2023,-0.1985007051402751,-0.1985007051402751
482,482,2023-04-30,168.49,4,2023,-0.1298133510051679,-0.1298133510051679
483,483,2023-05-01,169.28,5,2023,-0.0972931873724607,-0.0972931873724607
484,484,2023-05-02,170.09,5,2023,-0.0641921577461789,-0.0641921577461789
485,485,2023-05-03,169.5,5,2023,-0.0882786263544387,-0.0882786263544387
486,486,2023-05-04,164.89,5,2023,-0.2810414301459296,-0.2810414301459296
487,487,2023-05-05,170.98,5,2023,-0.0281014204648398,-0.0281014204648398
488,488,2023-05-06,167.935,5,2023,-0.1528009450774856,-0.1528009450774856
